t,estado,razon,velocidad,angulo,heading,color_piso,watchdog_pico,esquinas,frontal,frontal_muro,izquierda,derecha,trasera,trasera_valida,cobertura_trasera,trasera_izquierda,trasera_izquierda_valida,cobertura_trasera_izquierda,trasera_derecha,trasera_derecha_valida,cobertura_trasera_derecha,calidad_pared,tracks,tracks_confirmados,track_activo_id,track_activo_color,track_activo_x,track_activo_y,track_activo_edad,track_activo_observado,distancia_sobrepaso,hueco_confianza,vision_edad_ms
4366.668486,CRUISE,crucero centrado por paredes,5,-4.00,-0.10,PISTA,OK,0,636.0,1675.0,428.7,538.0,225.9,1,0.889,423.8,1,0.932,237.5,1,0.918,0.908,2,0,,,,,,0,0.0,,54.9
4366.743917,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,10,0.00,-0.10,PISTA,OK,0,635.8,1674.8,428.3,537.9,225.7,1,0.889,423.8,1,0.918,237.8,1,0.932,0.923,2,2,1,VERDE,-91.1,630.1,0.000,1,0.0,,58.5
4366.821044,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,15,4.00,-0.05,PISTA,OK,0,635.2,1673.8,428.7,539.0,227.3,1,0.889,424.5,1,0.932,239.0,1,0.959,0.917,3,2,1,VERDE,-94.9,628.8,0.000,1,0.0,,79.8
4366.899050,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,20,8.00,-0.20,PISTA,OK,0,633.5,1673.2,429.5,538.3,227.3,1,0.889,424.5,1,0.932,239.0,1,0.945,0.896,3,2,1,VERDE,-97.3,628.2,0.000,1,0.0,,91.8
4366.979327,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,12.00,-0.45,PISTA,OK,0,630.0,1667.5,431.3,538.0,230.2,1,0.889,425.2,1,0.918,242.0,1,0.959,0.903,3,2,1,VERDE,-102.7,624.1,0.000,1,0.0,,101.5
4367.060322,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,16.00,-0.98,PISTA,OK,0,624.0,1662.5,431.7,537.3,234.9,1,0.889,425.5,1,0.945,247.0,1,0.932,0.921,3,2,1,VERDE,-106.2,617.2,0.000,1,0.0,,53.0
4367.145640,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,20.00,-0.99,PISTA,OK,0,617.0,1653.5,432.2,536.9,241.8,1,0.861,425.0,1,0.973,255.5,1,0.945,0.935,3,2,1,VERDE,-108.3,608.5,0.000,1,0.0,,67.5
4367.235093,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,24.00,-0.52,PISTA,OK,0,608.0,1644.0,431.4,537.5,248.8,1,0.917,425.0,1,0.959,263.0,1,0.932,0.950,3,2,1,VERDE,-101.8,601.3,0.000,1,0.0,,92.2
4367.327831,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,24.61,0.35,PISTA,OK,0,601.5,1640.5,429.5,538.7,256.8,1,0.917,423.5,1,0.973,270.0,1,0.959,0.952,3,2,1,VERDE,-93.5,594.9,0.000,1,0.0,,52.1
4367.424283,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,23.57,0.87,PISTA,OK,0,593.5,1633.0,426.5,540.9,265.3,1,0.944,420.5,1,0.986,279.0,1,0.973,0.924,3,2,1,VERDE,-79.0,591.4,0.000,1,0.0,,77.4
4367.521749,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,22.22,2.54,PISTA,OK,0,589.0,1628.5,422.7,544.4,273.0,1,0.944,417.0,1,0.945,287.0,1,0.986,0.925,3,2,1,VERDE,-61.1,587.6,0.000,1,0.0,,46.4
4367.624469,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,20.44,4.26,PISTA,OK,0,581.5,1617.5,418.4,548.7,282.7,1,0.944,414.0,1,0.959,298.0,1,0.959,0.914,3,2,1,VERDE,-38.4,583.3,0.000,1,0.0,,82.7
4367.729189,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,19.11,5.91,PISTA,OK,0,576.5,1621.0,414.5,554.6,293.2,1,0.972,408.5,1,0.986,309.5,1,1.000,0.900,3,2,1,VERDE,-21.0,577.2,0.000,1,0.0,,55.0
4367.833093,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,18.48,7.59,PISTA,OK,0,571.5,1613.5,410.8,560.2,304.3,1,1.000,402.0,1,0.986,320.0,1,1.000,0.903,3,2,1,VERDE,-12.1,571.8,0.000,1,0.0,,82.8
4367.938938,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,16.41,8.33,PISTA,OK,0,562.0,562.0,406.9,567.2,699.1,1,0.972,399.5,1,0.986,548.5,1,0.986,0.905,3,2,1,VERDE,11.2,569.7,0.000,1,0.0,,65.2
4368.044472,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,15.63,9.98,PISTA,OK,0,562.5,1598.5,403.9,574.0,684.0,1,0.972,395.5,1,0.973,554.0,1,0.986,0.879,2,2,1,VERDE,21.1,564.5,0.000,1,0.0,,89.4
4368.149037,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,13.98,11.64,PISTA,OK,0,557.5,1594.5,395.2,582.4,668.8,1,0.972,391.5,1,0.986,559.5,1,0.986,0.800,2,2,1,VERDE,40.2,557.5,0.000,1,0.0,,70.7
4368.252309,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,12.12,13.16,PISTA,OK,0,550.0,1591.5,393.1,590.8,666.8,1,0.972,387.5,1,1.000,565.0,1,0.986,0.791,2,2,1,VERDE,61.0,549.6,0.000,1,0.0,,42.3
4368.355249,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,10.56,14.75,PISTA,OK,0,544.5,1604.0,415.6,599.9,657.8,1,1.000,386.2,1,0.973,569.8,1,1.000,0.217,2,2,1,VERDE,78.3,540.5,0.000,1,0.0,,81.0
4368.455399,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,8.88,16.31,PISTA,OK,0,541.0,1599.5,413.2,609.4,638.1,1,0.972,383.5,1,0.959,575.0,1,0.986,0.219,3,2,1,VERDE,95.9,531.7,0.000,1,0.0,,48.7
4368.557558,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,22,6.91,17.75,PISTA,OK,0,537.2,1600.5,408.0,620.2,632.8,1,1.000,382.0,1,0.986,580.2,1,1.000,0.221,3,2,1,VERDE,115.7,522.1,0.000,1,0.0,,81.9
4368.658543,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,25,5.25,18.41,PISTA,OK,0,978.0,1591.0,408.6,631.4,627.9,1,1.000,379.0,1,0.973,586.0,1,1.000,0.221,3,2,1,VERDE,131.9,511.9,0.000,1,0.0,,51.3
4368.756782,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,25,3.49,19.83,PISTA,OK,0,971.5,1583.5,406.9,642.4,619.7,1,1.000,376.5,1,0.986,590.5,1,1.000,0.219,3,2,1,VERDE,148.4,501.3,0.000,1,0.0,,74.4
4368.856041,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,25,2.05,21.12,PISTA,OK,0,962.5,1586.5,402.8,653.2,618.1,1,1.000,373.5,1,0.973,596.0,1,1.000,0.220,3,2,1,VERDE,161.5,490.1,0.000,1,0.0,,45.0
4368.955158,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,25,0.97,22.20,PISTA,OK,0,954.0,1580.5,401.6,664.8,613.3,1,1.000,371.0,1,0.986,601.0,1,1.000,0.221,3,2,1,VERDE,170.9,477.9,0.000,1,0.0,,79.5
