t,estado,razon,velocidad,angulo,heading,color_piso,watchdog_pico,esquinas,frontal,frontal_muro,izquierda,derecha,trasera,trasera_valida,cobertura_trasera,trasera_izquierda,trasera_izquierda_valida,cobertura_trasera_izquierda,trasera_derecha,trasera_derecha_valida,cobertura_trasera_derecha,calidad_pared,tracks,tracks_confirmados,track_activo_id,track_activo_color,track_activo_x,track_activo_y,track_activo_edad,track_activo_observado,distancia_sobrepaso,hueco_confianza,vision_edad_ms
2469.433623,CRUISE,crucero centrado por paredes,5,-4.00,-0.13,PISTA,OK,0,700.2,1740.8,421.2,541.7,160.9,1,0.917,418.8,1,0.808,176.5,1,0.959,0.837,1,0,,,,,,0,0.0,,55.7
2469.505344,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,10,0.00,-0.10,PISTA,OK,0,703.5,1744.0,421.3,541.3,162.2,1,0.889,418.0,1,0.822,175.0,1,0.918,0.867,1,1,1,VERDE,-66.0,701.2,0.000,1,0.0,,49.3
2469.577404,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,15,4.00,-0.07,PISTA,OK,0,701.0,1743.5,421.2,541.4,162.6,1,0.889,417.5,1,0.822,177.0,1,0.959,0.846,1,1,1,VERDE,-70.5,699.7,0.000,1,0.0,,55.8
2469.649367,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,20,8.00,-0.10,PISTA,OK,0,698.2,1741.8,422.0,542.2,163.1,1,0.944,417.8,1,0.808,176.8,1,0.973,0.840,1,1,1,VERDE,-75.6,696.9,0.000,1,0.0,,60.6
2469.725205,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,12.00,-0.64,PISTA,OK,0,697.0,1733.5,423.1,541.5,165.6,1,0.861,419.5,1,0.849,180.2,1,0.932,0.845,1,1,1,VERDE,-80.8,692.7,0.000,1,0.0,,80.3
2469.802676,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,16.00,-0.90,PISTA,OK,0,691.5,1727.0,423.6,540.5,169.7,1,0.944,420.5,1,0.904,183.5,1,0.973,0.853,1,1,1,VERDE,-82.1,687.4,0.000,1,0.0,,91.1
2469.882509,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,20.00,-0.94,PISTA,OK,0,685.5,1720.5,423.7,540.7,175.7,1,0.861,418.8,1,0.890,188.5,1,0.918,0.879,1,1,1,VERDE,-82.9,681.3,0.000,1,0.0,,103.3
2469.967564,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,20.71,-0.77,PISTA,OK,0,677.0,1716.5,423.7,541.3,183.0,1,0.889,419.8,1,0.918,196.0,1,0.945,0.887,2,1,1,VERDE,-76.6,676.1,0.000,1,0.0,,54.7
2470.056320,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,20.12,0.33,PISTA,OK,0,670.0,1710.5,420.7,542.5,189.5,1,0.944,415.5,1,0.877,203.0,1,0.973,0.913,2,1,1,VERDE,-65.4,667.4,0.000,1,0.0,,68.2
2470.146236,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,18.91,1.08,PISTA,OK,0,663.0,1703.0,417.9,546.3,199.2,1,0.944,415.2,1,0.890,210.8,1,0.973,0.918,2,1,1,VERDE,-48.1,662.8,0.000,1,0.0,,33.7
