t,estado,razon,velocidad,angulo,heading,color_piso,watchdog_pico,esquinas,frontal,frontal_muro,izquierda,derecha,trasera,trasera_valida,cobertura_trasera,trasera_izquierda,trasera_izquierda_valida,cobertura_trasera_izquierda,trasera_derecha,trasera_derecha_valida,cobertura_trasera_derecha,calidad_pared,tracks,tracks_confirmados,track_activo_id,track_activo_color,track_activo_x,track_activo_y,track_activo_edad,track_activo_observado,distancia_sobrepaso,hueco_confianza,vision_edad_ms
2208.123603,CRUISE,crucero centrado por paredes,5,-4.00,-0.10,PISTA,OK,0,702.0,1741.2,408.9,552.9,158.5,1,0.861,406.0,1,0.863,179.5,1,0.904,0.852,1,0,,,,,,0,0.0,,43.9
2208.199451,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,10,0.00,-0.09,PISTA,OK,0,701.0,1739.0,408.7,552.8,157.9,1,0.833,406.5,1,0.877,179.5,1,0.932,0.857,1,1,1,VERDE,-75.1,697.9,0.000,1,0.0,,54.2
2208.279840,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,15,4.00,-0.06,PISTA,OK,0,701.5,1739.0,408.5,553.2,159.2,1,0.917,406.2,1,0.836,179.0,1,0.959,0.843,1,1,1,VERDE,-70.4,699.3,0.000,1,0.0,,62.7
2208.362708,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,20,8.00,-0.09,PISTA,OK,0,697.0,1738.5,408.9,553.7,161.3,1,0.917,405.2,1,0.890,181.0,1,0.959,0.834,1,1,1,VERDE,-81.0,695.7,0.000,1,0.0,,83.8
2208.447396,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,12.00,-0.51,PISTA,OK,0,694.0,1734.8,410.5,553.2,161.5,1,0.889,407.0,1,0.877,183.8,1,0.918,0.850,1,1,1,VERDE,-87.9,689.5,0.000,1,0.0,,101.6
2208.534647,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,16.00,-0.65,PISTA,OK,0,687.0,1724.0,411.1,552.0,167.5,1,0.889,407.5,1,0.863,186.8,1,0.945,0.869,1,1,1,VERDE,-89.1,682.6,0.000,1,0.0,,48.9
2208.625247,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,20.00,-0.63,PISTA,OK,0,680.0,1721.5,411.7,552.6,173.9,1,0.889,407.0,1,0.904,194.5,1,0.932,0.881,1,1,1,VERDE,-89.5,674.8,0.000,1,0.0,,69.0
2208.720832,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,21.33,-0.25,PISTA,OK,0,672.0,1712.5,410.7,553.1,184.0,1,0.917,405.8,1,0.932,203.0,1,0.945,0.896,1,1,1,VERDE,-82.0,668.3,0.000,1,0.0,,41.8
2208.818157,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,20.36,1.01,PISTA,OK,0,662.0,1705.5,408.3,554.7,191.6,1,0.944,402.0,1,1.000,209.8,1,0.959,0.938,1,1,1,VERDE,-66.5,661.4,0.000,1,0.0,,71.3
2208.920841,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,18.76,2.45,PISTA,OK,0,657.0,1694.5,404.2,558.1,202.5,1,0.944,399.5,1,0.945,220.0,1,0.973,0.928,1,1,1,VERDE,-44.3,657.2,0.000,1,0.0,,41.8
2209.022380,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,17.41,3.87,PISTA,OK,0,648.0,1699.0,400.3,563.1,209.1,1,0.889,397.0,1,0.918,225.5,1,0.959,0.919,1,1,1,VERDE,-25.2,651.4,0.000,1,0.0,,75.4
2209.126280,AVOID_APPROACH,pure-pursuit al punto de paso del pilar 1,23,16.48,4.66,PISTA,OK,0,644.0,1688.5,396.9,567.3,221.1,1,1.000,392.5,1,0.945,235.2,1,1.000,0.934,1,1,1,VERDE,-11.7,644.6,0.000,1,0.0,,41.4
